Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
jgit,DT,0,model2,ADA,0.9430160862161963,0.5046765974207259,0.9633393318405219,[0.97063776 0.03871543],0.9430160862161963,0.022304450611573646,0.14652261985145174,0.9493031312458361,0.5479128755486439,"[178113, 9512, 1264, 217]"
jgit,LogisticRegression,0,model2,ADA,0.7528317451587998,0.4478252525302774,0.8517835623045429,[0.85821151 0.03743899],0.7528317451587998,0.01930838183440248,0.6137744767049291,0.753929380413058,0.6838519285589936,"[141456, 46169, 572, 909]"
jgit,MLP,0,model2,ADA,0.8992311190549216,0.5070417798297016,0.9398511776073043,[0.94673822 0.06734534],0.8992311190549216,0.03630415281515487,0.46455097906819715,0.9026622251832112,0.6836066021257041,"[169362, 18263, 793, 688]"
jgit,RandomForest,0,model3,ADA,0.476399479656912,0.33109448512029677,0.6379729359930613,[0.64285611 0.01933286],0.476399479656912,0.009810326977394031,0.6590141796083727,0.4749580279813458,0.5669861037948593,"[89114, 98511, 505, 976]"
jgit,DT,0,model3,ADA,0.47639419161739976,0.3310919418126331,0.6379680776881279,[0.64285122 0.01933267],0.47639419161739976,0.009810228369250563,0.6590141796083727,0.4749526982011992,0.5669834389047859,"[89113, 98512, 505, 976]"
jgit,LogisticRegression,0,model3,ADA,0.6813374509534336,0.4138081283453431,0.8036148509081041,[0.80981762 0.01779864],0.6813374509534336,0.009119454836985568,0.36866981769074947,0.6838054630246503,0.5262376403576998,"[128299, 59326, 935, 546]"
jgit,MLP,0,model3,ADA,0.8722938457796157,0.47991275116584353,0.9245807479256942,[0.93165649 0.02816901],0.8722938457796157,0.01497710642303907,0.2363268062120189,0.8773137908061293,0.5568202985090741,"[164606, 23019, 1131, 350]"
jgit,RandomForest,0,model1,RUS,0.7322718475352449,0.44247460929512406,0.8381355508816769,[0.84443147 0.04051775],0.7322718475352448,0.7218095881161377,0.7323544303797468,0.7270820092479424,"[137408, 50217, 412, 1069]"
jgit,DT,0,model1,RUS,0.704811058348228,0.43013029008572284,0.8195748549989362,[0.82577186 0.03448872],0.704811058348228,0.6731937879810939,0.7050606262491672,0.6891272071151305,"[132287, 55338, 484, 997]"
jgit,LogisticRegression,0,model1,RUS,0.7642168942286337,0.45168653163093136,0.8591646559945002,[0.86564862 0.03772445],0.7642168942286337,0.5901417960837272,0.7655909393737508,0.677866367728739,"[143644, 43981, 607, 874]"
