file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/ConstructorArgsTest.java,org.easymock.tests2.ConstructorArgsTest$A,innerclass,0,0,0,0,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,9,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/ExpectedInvocation.java,org.easymock.internal.ExpectedInvocation,class,5,14,9,5,24,1,0,22,0,0.5416667,0.0,0.0,8,0,6,2,0,0,6,0,0,0,3,1,0,3,0,0,3,0,0,67,10,3,9,0,3,12,2,8,1,8,2,0,0,0,69,1,0
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/BasicClassMockTest.java,org.easymock.samples.BasicClassMockTest,class,6,6,0,6,4,2,0,6,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,45,0,0,0,0,0,4,0,4,0,2,0,0,2,0,31,1,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/Injector.java,org.easymock.internal.Injector,class,10,13,3,10,46,1,0,52,66,0.0,0.0,0.0,12,12,1,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,17,172,10,8,15,6,3,13,2,30,6,23,3,0,0,0,165,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageExpectAndDefaultThrowTest.java,org.easymock.tests.UsageExpectAndDefaultThrowTest,class,5,5,0,5,20,1,0,25,0,0.14285715,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,0,0,21,123,0,0,0,13,0,4,15,2,0,2,1,0,0,0,59,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageThrowableTest.java,org.easymock.tests.UsageThrowableTest$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,-1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/Component.java,org.easymock.tests.Component,class,0,1,1,0,3,1,0,0,3,0.0,0.0,0.0,3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/MockNameTest.java,org.easymock.tests.MockNameTest,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,3,1,3,0,0,0,0,14,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageThrowableTest.java,org.easymock.tests.UsageThrowableTest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,-1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/EasyMockClassExtensionTest.java,org.easymock.tests2.EasyMockClassExtensionTest$ParamEntry,innerclass,5,5,0,5,8,1,0,9,0,0.4,0.0,0.0,5,0,1,0,0,4,5,0,0,0,2,0,0,0,0,2,0,0,4,29,3,0,1,0,0,0,1,3,0,3,1,0,0,0,21,10,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/TypingTest.java,org.easymock.tests.TypingTest,class,5,5,0,5,8,1,0,60,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,43,91,0,0,0,1,0,33,0,69,0,5,1,0,0,0,41,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageThrowableTest.java,org.easymock.tests.UsageThrowableTest$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,-1,0
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/BasicClassMockTest.java,org.easymock.samples.BasicClassMockTest$Printer,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1033,0
/users/farah/cpmp/1.ck/easymock/bench/src/main/java/org/easymock/benchmark/EasyMockBenchmark.java,org.easymock.benchmark.EasyMockBenchmark,class,8,8,0,8,2,1,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,10,2,0,0,0,0,0,5,2,0,2,0,0,0,0,12,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/DefaultClassInstantiatorTest.java,org.easymock.tests.DefaultClassInstantiatorTest$ProtectedConstructorClass,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
/users/farah/cpmp/1.ck/easymock/test-nodeps/src/test/java/org/main/Main.java,org.main.Main,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/users/farah/cpmp/1.ck/easymock/test-java8/src/test/java/org/easymock/java8/Methods.java,org.easymock.java8.Methods,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/GenericTest.java,org.easymock.tests.GenericTest$GenericHolder,innerclass,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1032,0
/users/farah/cpmp/1.ck/easymock/core/src/samples/java/org/easymock/samples/EnclosedTest.java,org.easymock.samples.EnclosedTest$VoteRemoval,innerclass,10,10,0,10,3,3,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,10,2,0,0,0,0,0,0,0,14,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/CaptureTest.java,org.easymock.tests2.CaptureTest$A,innerclass,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/MockBuilderTest.java,org.easymock.tests2.MockBuilderTest$EmptyConstructor,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/ClassInstantiatorFactoryTest.java,org.easymock.tests.ClassInstantiatorFactoryTest,class,6,6,0,6,5,1,0,7,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,1,0,3,0,3,0,0,0,0,23,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageOverloadedMethodTest.java,org.easymock.tests.UsageOverloadedMethodTest,class,5,5,0,5,7,1,0,21,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,26,88,0,0,0,3,0,63,31,1,0,1,1,0,0,0,36,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/InvocationTest.java,org.easymock.tests.InvocationTest$1ToString,innerclass,0,0,0,0,3,1,0,0,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0
