project,commit,commitprevious,release,file,method,BOM,TACH,FCH,LCH,CHO,FRCH,CHD,WCH,WCD,WFR,ATAF,LCA,LCD,CSB,CSBS,ACDF
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsEscape(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testRFC4180(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsHeader(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithNullString(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithQuotePolicy(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEscapeSameAsCommentStartThrowsExceptionForWrapperType(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsRecordSeparator(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testGetHeader(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsCommentStart(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithEscapeCRThrowsExceptions(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEquals(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithDelimiter(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testQuotePolicyNoneWithoutEscapeThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/AssertionsTest.java,/src/test/java/org/apache/commons/csv/AssertionsTest/testNotNull(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/AssertionsTest.java,/src/test/java/org/apache/commons/csv/AssertionsTest/testNotNullNull(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testFF(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testTab(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testCR(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,"/src/test/java/org/apache/commons/csv/LexerTest/getLexer(String, CSVFormat)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testBackslashWithoutEscaping(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testBackslashWithEscaping(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testBackspace(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/LexerTest.java,/src/test/java/org/apache/commons/csv/LexerTest/testLF(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
