Dataset,Algoritm,Approach,window,model,resample,F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score
commons-bcel,MLP,trad,0,Str,ENN,0.91640421,0.974392780756497,0.014569536423841,0.9961049856184084,0.5053372610211248
commons-bcel,RandomForest,trad,0,StrEvo,ENN,0.91640421,0.9358354575019776,0.4966887417218543,0.9457694151486098,0.7212290784352321
commons-bcel,DT,trad,0,StrEvo,ENN,0.91640421,0.9170841756760716,0.5509933774834437,0.9253655321188878,0.7381794548011658
commons-bcel,LogisticRegression,trad,0,StrEvo,ENN,0.91640421,0.8052210600334008,0.7986754966887417,0.8053691275167785,0.8020223121027601
commons-bcel,MLP,trad,0,StrEvo,ENN,0.91640421,0.9748029650464388,0.309933774834437,0.9898430009587728,0.6498883878966049
commons-bcel,RandomForest,trad,0,Evo,ENN,0.91640421,0.8144502065570889,0.7377483443708609,0.8161852828379674,0.7769668136044142
commons-bcel,DT,trad,0,Evo,ENN,0.91640421,0.8140400222671472,0.7377483443708609,0.815765819750719,0.7767570820607901
commons-bcel,LogisticRegression,trad,0,Evo,ENN,0.91640421,0.8533591163458439,0.6450331125827815,0.8580716682646213,0.7515523904237013
commons-bcel,MLP,trad,0,Evo,ENN,0.91640421,0.8983621927280185,0.3086092715231788,0.9117030201342282,0.6101561458287035
commons-bcel,RandomForest,trad,0,Str,TL,0.91640421,0.8443643608449797,0.3125827814569536,0.856393815915628,0.5844882986862908
commons-bcel,DT,trad,0,Str,TL,0.91640421,0.7768304473938649,0.5033112582781457,0.7830177372962608,0.6431644977872032
commons-bcel,LogisticRegression,trad,0,Str,TL,0.91640421,0.7040520348070669,0.6291390728476821,0.705746644295302,0.667442858571492
commons-bcel,MLP,trad,0,Str,TL,0.91640421,0.9778793472210014,0.0,1.0,0.5
commons-bcel,RandomForest,trad,0,StrEvo,TL,0.91640421,0.9411678532712198,0.4410596026490066,0.9524808245445828,0.6967702135967948
commons-bcel,DT,trad,0,StrEvo,TL,0.91640421,0.920336351117752,0.4860927152317881,0.9301593959731544,0.7081260556024712
commons-bcel,LogisticRegression,trad,0,StrEvo,TL,0.91640421,0.8096451905892005,0.7920529801324503,0.8100431447746884,0.8010480624535693
commons-bcel,MLP,trad,0,StrEvo,TL,0.91640421,0.9779086460988544,0.1337748344370861,0.9970038350910834,0.5653893347640848
commons-bcel,RandomForest,trad,0,Evo,TL,0.91640421,0.8147138964577657,0.7377483443708609,0.8164549376797698,0.7771016410253153
commons-bcel,DT,trad,0,Evo,TL,0.91640421,0.8140400222671472,0.7377483443708609,0.815765819750719,0.7767570820607901
commons-bcel,LogisticRegression,trad,0,Evo,TL,0.91640421,0.8514839881632533,0.6503311258278146,0.856034276126558,0.7531827009771863
commons-bcel,MLP,trad,0,Evo,TL,0.91640421,0.9778793472210014,0.0,1.0,0.5
commons-bcel,RandomForest,slw,2,Str,NONE,0.91622592,0.846439923712651,0.3009985734664764,0.8588705744660099,0.5799345739662431
commons-bcel,DT,slw,2,Str,NONE,0.91622592,0.7684361093452002,0.4935805991440798,0.7747000877791865,0.6341403434616332
commons-bcel,LogisticRegression,slw,2,Str,NONE,0.91622592,0.977717736808646,0.0,1.0,0.5
commons-bcel,MLP,slw,2,Str,NONE,0.91622592,0.9776859504132231,0.0028530670470756,0.9999024675704672,0.5013777673087714
commons-bcel,RandomForest,slw,2,StrEvo,NONE,0.91622592,0.9480610298792116,0.4265335235378031,0.9599466822718554,0.6932401029048293
commons-bcel,DT,slw,2,StrEvo,NONE,0.91622592,0.922822631913541,0.5078459343794579,0.9322799830943788,0.7200629587369184
commons-bcel,LogisticRegression,slw,2,StrEvo,NONE,0.91622592,0.9771773680864588,0.0128388017118402,0.999154718944049,0.5059967603279446
commons-bcel,MLP,slw,2,StrEvo,NONE,0.91622592,0.97730451366815,0.2439372325249643,0.9940180109886536,0.6189776217568089
commons-bcel,RandomForest,slw,2,Evo,NONE,0.91622592,0.8272409408773045,0.7589158345221113,0.8287980753600572,0.7938569549410843
