Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,DT,2,model1,ADA,0.8297010409722579,0.487622309911786,0.8888896352695916,[0.9062791  0.06896552],0.8297010409722578,0.03889943074003795,0.3037037037037037,0.84085672392124,0.572280213812472,"[16057, 3039, 282, 123]"
commons-io,LogisticRegression,2,model1,ADA,0.6651966565817138,0.43880346006621546,0.7804404079163024,[0.79524571 0.08236121],0.6651966565817138,0.04366616989567809,0.7234567901234568,0.663961038961039,0.6937089145422478,"[12679, 6417, 112, 293]"
commons-io,MLP,2,model1,ADA,0.8221116865801755,0.5134776966614432,0.8848836910968684,[0.90097908 0.12597632],0.8221116865801754,0.07014590347923681,0.6172839506172839,0.8264558022622539,0.721869876439769,"[15782, 3314, 155, 250]"
commons-io,RandomForest,2,model2,ADA,0.9662068611866058,0.6328059521330149,0.9681625548195216,[0.98269569 0.28291621],0.9662068611866058,0.2529182879377432,0.32098765432098764,0.9798910766652702,0.650439365493129,"[18712, 384, 275, 130]"
commons-io,DT,2,model2,ADA,0.8586226347366802,0.5321792184967816,0.9067374685237886,[0.92296946 0.14138898],0.8586226347366802,0.08089807555238775,0.5604938271604938,0.8649455383326351,0.7127196827465644,"[16517, 2579, 178, 227]"
commons-io,LogisticRegression,2,model2,ADA,0.7120660478949798,0.4637600107751323,0.8135028999844065,[0.82865949 0.09886054],0.7120660478949797,0.05286646069344319,0.7604938271604939,0.711038961038961,0.7357663940997274,"[13578, 5518, 97, 308]"
commons-io,MLP,2,model2,ADA,0.9343623403928004,0.6375720477372123,0.9519205126335458,[0.96554323 0.30960086],0.9343623403928004,0.19806763285024154,0.7086419753086419,0.9391495601173021,0.823895767712972,"[17934, 1162, 118, 287]"
commons-io,RandomForest,2,model3,ADA,0.8409312342956772,0.5286459685568774,0.896372542104657,[0.91230848 0.14498346],0.8409312342956772,0.0816009928637915,0.6493827160493827,0.8449937159614579,0.7471882160054202,"[16136, 2960, 142, 263]"
commons-io,DT,2,model3,ADA,0.8409312342956772,0.5286459685568774,0.896372542104657,[0.91230848 0.14498346],0.8409312342956772,0.0816009928637915,0.6493827160493827,0.8449937159614579,0.7471882160054202,"[16136, 2960, 142, 263]"
commons-io,LogisticRegression,2,model3,ADA,0.8108814932567561,0.49913434550977004,0.87787116309436,[0.89428424 0.10398445],0.8108814932567561,0.05766639719752088,0.528395061728395,0.8168726434855467,0.6726338526069708,"[15599, 3497, 191, 214]"
commons-io,MLP,2,model3,ADA,0.7733449566688888,0.4938669378118323,0.8543474878399355,[0.8699694  0.11776447],0.7733449566688888,0.06406080347448426,0.7283950617283951,0.7742982823627985,0.7513466720455968,"[14786, 4310, 110, 295]"
