Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
pdfbox,StrEvo,slw,3,MLP,0.96262817,0.9340790099952404,0.8737270875763747,0.907158398118723,ROS
pdfbox,StrEvo,slw,3,RandomForest,0.98589625,0.9746152625733776,0.8973523421588595,0.9401513215825716,ADA
pdfbox,Evo,slw,3,DT,0.90562503,0.840155481516738,0.7519348268839103,0.8008037275431108,NONE
pdfbox,Evo,slw,3,LogisticRegression,0.90562503,0.840155481516738,0.7519348268839103,0.8008037275431108,RUS
pdfbox,Evo,slw,3,MLP,0.90562503,0.840155481516738,0.7519348268839103,0.8008037275431108,RUS
pdfbox,Evo,slw,3,RandomForest,0.90562503,0.840155481516738,0.7519348268839103,0.8008037275431108,NONE
pdfbox,Str,slw,4,DT,0.93425944,0.8846104314230522,0.7692700357325166,0.8322353178287629,ENN
pdfbox,Str,slw,4,LogisticRegression,0.80987721,0.6975745868212063,0.6355283307810107,0.6693998984238761,SMOTE
pdfbox,Str,slw,4,MLP,0.93457396,0.8849967804249839,0.7565084226646248,0.8266512866978917,ROS
pdfbox,Str,slw,4,RandomForest,0.89936675,0.8301352221506761,0.8453292496171516,0.8370347035487332,RUS
pdfbox,StrEvo,slw,4,DT,0.96470532,0.9366816913500752,0.8483920367534457,0.8965900941172552,ENN
pdfbox,StrEvo,slw,4,LogisticRegression,0.89240911,0.8192315947628246,0.8269525267993875,0.8227376057319022,RUS
pdfbox,StrEvo,slw,4,MLP,0.96333773,0.9343635973384846,0.8565594691168964,0.899033390351474,ROS
pdfbox,StrEvo,slw,4,RandomForest,0.94227877,0.899506331830865,0.9423175089331292,0.9189465309944984,RUS
pdfbox,Evo,slw,4,DT,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS
pdfbox,Evo,slw,4,LogisticRegression,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS
pdfbox,Evo,slw,4,MLP,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS
pdfbox,Evo,slw,4,RandomForest,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS
wro4j,Str,slw,2,DT,0.92156962,0.8556020455602046,0.25,0.5618476491429666,SMOTE
wro4j,Str,slw,2,LogisticRegression,0.84382872,0.7348210134821014,0.6346153846153846,0.686215094395215,ROS
wro4j,Str,slw,2,MLP,0.87615869,0.7826127382612739,0.469551282051282,0.6307585961151746,ROS
wro4j,Str,slw,2,RandomForest,0.96559888,0.9337982333798234,0.1618589743589743,0.5593600148056483,SMOTE
wro4j,StrEvo,slw,2,DT,0.93685128,0.8820548582054858,0.2467948717948718,0.5739145286868642,ADA
wro4j,StrEvo,slw,2,LogisticRegression,0.83433211,0.7211064621106462,0.6490384615384616,0.6861490306351697,SMOTE
wro4j,StrEvo,slw,2,MLP,0.89228283,0.8078568107856811,0.4150641025641026,0.6173280869039991,ROS
wro4j,StrEvo,slw,2,RandomForest,0.97157399,0.9449558344955834,0.1474358974358974,0.5581094071111308,ADA
wro4j,Evo,slw,2,DT,0.82791032,0.7105997210599722,0.4983974358974359,0.607668506323706,ROS
wro4j,Evo,slw,2,LogisticRegression,0.76424614,0.6241748024174802,0.5176282051282052,0.5724931220029612,ADA
wro4j,Evo,slw,2,MLP,0.72977035,0.5820548582054859,0.6105769230769231,0.5958898213009819,SMOTE
wro4j,Evo,slw,2,RandomForest,0.82757286,0.7100883310088331,0.4951923076923077,0.6058504868922134,ROS
wro4j,Str,slw,3,DT,0.91618512,0.8464996487941934,0.2402985074626865,0.5532166939053824,ROS
wro4j,Str,slw,3,LogisticRegression,0.83379355,0.7209552797939592,0.6701492537313433,0.6963750861356741,NONE
wro4j,Str,slw,3,MLP,0.8816959,0.791196441114493,0.417910447761194,0.6105989270471428,ROS
wro4j,Str,slw,3,RandomForest,0.92048058,0.8537110746897683,0.2238805970149253,0.5489961360709145,ROS
wro4j,StrEvo,slw,3,DT,0.94037419,0.8882228986185905,0.2164179104477611,0.563200494986994,ROS
wro4j,StrEvo,slw,3,LogisticRegression,0.82613579,0.7100444860688363,0.6746268656716418,0.6929092752336938,ROS
wro4j,StrEvo,slw,3,MLP,0.95157978,0.9083586981971437,0.2507462686567164,0.590202720985356,ADA
wro4j,StrEvo,slw,3,RandomForest,0.9443133,0.8950597049871225,0.1686567164179104,0.5436225327315561,ROS
