Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
commons-csv,StrEvo,slw,4,RandomForest,0.90010352,0.8233409610983982,0.8888888888888888,0.8550701823429095,RUS
commons-io,Evo,trad,0,DT,0.91059879,0.8378276090453213,0.6614173228346457,0.751241493714861,ROS
commons-io,Evo,trad,0,LogisticRegression,0.90333054,0.8253382533825339,0.5144356955380578,0.6727403221150327,RUS
commons-io,Evo,trad,0,MLP,0.91277088,0.8413757214495222,0.6351706036745407,0.7401656361823106,ADA
commons-io,Evo,trad,0,RandomForest,0.91014402,0.8370706783990917,0.6614173228346457,0.7508560815647429,ROS
commons-io,Evo,slw,2,DT,0.91527527,0.8459566176093534,0.6691358024691358,0.7594212736685855,NONE
commons-io,Evo,slw,2,LogisticRegression,0.90163701,0.8228295984821291,0.5209876543209877,0.6751094534696686,RUS
commons-io,Evo,slw,2,MLP,0.8699694,0.7733449566688888,0.7283950617283951,0.7513466720455968,ADA
commons-io,Evo,slw,2,RandomForest,0.91655637,0.8480590738936464,0.654320987654321,0.7532444904756732,ROS
commons-io,Evo,slw,3,DT,0.91017266,0.8375098918491163,0.6843434343434344,0.7625607467530523,NONE
commons-io,Evo,slw,3,LogisticRegression,0.91089282,0.8382484832498022,0.5505050505050505,0.697446608985485,RUS
commons-io,Evo,slw,3,MLP,0.87116193,0.775309944605645,0.75,0.762924995958834,SMOTE
commons-io,Evo,slw,3,RandomForest,0.91757414,0.8498549195462939,0.6767676767676768,0.7651579102627112,ENN
commons-io,Evo,slw,4,DT,0.91695502,0.8487531917205411,0.6931506849315069,0.7725259022706531,NONE
commons-io,Evo,slw,4,LogisticRegression,0.89425357,0.8110501439669691,0.6109589041095891,0.713028504266301,RUS
commons-io,Evo,slw,4,MLP,0.8877989,0.801162601184332,0.7315068493150685,0.7670393131399641,ROS
commons-io,Evo,slw,4,RandomForest,0.91776208,0.8501113706742001,0.6931506849315069,0.7732187301167899,TL
commons-io,Str,trad,0,DT,0.81260299,0.6879553410918725,0.6325459317585301,0.660759163306639,RUS
commons-io,Str,trad,0,LogisticRegression,0.82513001,0.7056959031128773,0.6299212598425197,0.6685040128764075,ROS
commons-io,Str,trad,0,MLP,0.84935129,0.7412716434856657,0.6614173228346457,0.7020773563154296,ROS
commons-io,Str,trad,0,RandomForest,0.79441522,0.6635443277509698,0.7480314960629921,0.7050125202047388,RUS
commons-io,Str,slw,2,DT,0.81758647,0.6957591918363161,0.671604938271605,0.6839382043683119,RUS
commons-io,Str,slw,2,LogisticRegression,0.80152219,0.6737090405620224,0.7160493827160493,0.6944302213119418,SMOTE
commons-io,Str,slw,2,MLP,0.87615819,0.7827290908158556,0.6814814814814815,0.7331789476950766,ROS
commons-io,Str,slw,2,RandomForest,0.80520694,0.6792472180913799,0.7851851851851852,0.7310928020605441,RUS
commons-io,Str,slw,3,DT,0.82674619,0.7088367185439198,0.6767676767676768,0.693144331944914,RUS
