file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,close/0,false,458,1,2,1,1,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"parse/2[java.io.Reader,org.apache.commons.csv.CSVFormat]",false,303,2,18,17,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"parse/3[java.io.File,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat]",false,227,2,5,4,1,1,3,4,1,0,3,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,38,9,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,createEmptyHeaderMap/0,false,464,1,3,2,1,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getHeaderMapRaw/0,false,603,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,getFirstEndOfLine/0,false,562,1,4,3,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,"CSVParser/2[java.io.Reader,org.apache.commons.csv.CSVFormat]",true,403,1,12,12,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,50,1,0,true
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithDelimiter/0,false,1190,2,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testGetHeader/0,false,723,2,2,0,2,1,5,10,0,3,0,5,0,0,0,0,0,0,6,3,6,0,0,0,0,0,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testPrintWithoutQuotes/0,false,877,2,5,0,5,1,7,7,0,3,0,7,0,0,0,0,0,0,2,0,3,0,0,0,0,0,20,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testNewFormat/0,false,765,2,19,0,19,1,22,39,0,1,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithQuoteChar/0,false,1441,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithRecordSeparatorCR/0,false,1458,2,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testPrintWithQuoteModeIsNONE/0,false,886,2,5,0,5,1,7,7,0,3,0,7,0,0,0,0,0,0,2,0,3,0,0,0,0,0,24,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithNullString/0,false,1435,2,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,11,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testNullRecordSeparatorCsv106/0,false,826,3,6,0,6,1,9,6,0,2,0,9,0,0,0,0,0,0,5,0,2,0,0,0,0,0,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testQuotePolicyNoneWithoutEscapeThrowsException_Deprecated/0,false,945,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithCommentStartCRThrowsException/0,false,1185,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testJiraCsv236__Deprecated/0,false,760,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElementsTrueContainsEmpty2/0,false,160,3,4,0,4,1,4,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithHeaderEnum/0,false,1403,3,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,12,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsIgnoreEmptyLines/0,false,299,4,10,0,10,1,10,5,0,2,0,10,1,1,0,0,0,0,0,0,2,0,0,0,0,0,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testQuoteCharSameAsDelimiterThrowsException_Deprecated/0,false,934,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsSkipHeaderRecord_Deprecated/0,false,579,3,12,0,12,1,12,5,0,2,0,12,1,1,0,0,0,0,2,0,2,0,0,0,0,0,17,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEscapeSameAsCommentStartThrowsException/0,false,651,1,0,0,0,1,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testPrintWithEscapesEndWithCRLF/0,false,859,2,5,0,5,1,7,7,0,3,0,7,0,0,0,0,0,0,2,0,3,0,0,0,0,0,25,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsDelimiter/0,false,203,3,2,0,2,1,2,5,0,2,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEquals/0,false,170,3,2,0,2,1,4,11,0,2,0,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,10,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithEmptyEnum/0,false,1209,3,2,0,2,1,3,4,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsQuoteChar_Deprecated/0,false,526,3,3,0,3,1,3,5,0,2,0,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,14,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testFormatToString/0,false,694,2,10,0,10,1,11,4,0,1,0,11,0,0,0,0,0,0,7,0,1,1,0,0,0,0,22,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsNoQuotes_Deprecated/0,false,363,2,2,0,2,1,3,5,0,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsNullString_Deprecated/0,false,381,3,10,0,10,1,10,5,0,2,0,10,1,1,0,0,0,0,3,0,2,0,0,0,0,0,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testWithHeaderResultSetNull/0,false,1416,2,1,0,1,1,1,5,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testFormat/0,false,676,2,1,0,1,1,2,6,0,1,0,2,0,0,0,0,0,0,8,0,1,0,0,0,0,0,8,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testQuotePolicyNoneWithoutEscapeThrowsException/0,false,939,1,0,0,0,1,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testTrim/0,false,1154,2,5,0,5,1,8,19,0,3,0,8,0,0,0,0,0,0,8,3,6,0,0,0,0,0,23,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElementsFalse/0,false,133,1,0,0,0,1,5,3,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,8,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElements_Deprecated/0,false,125,2,2,0,2,1,4,6,0,2,0,4,0,0,0,0,0,0,3,1,2,0,0,0,0,0,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType_Deprecated/0,false,922,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testDelimiterSameAsEscapeThrowsException1/0,false,106,1,0,0,0,1,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testDuplicateHeaderElementsTrue_Deprecated/0,false,150,2,2,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsIgnoreSurroundingSpaces/0,false,318,4,9,0,9,1,9,5,0,2,0,9,1,1,0,0,0,0,0,0,2,0,0,0,0,0,15,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEscapeSameAsCommentStartThrowsExceptionForWrapperType_Deprecated/0,false,670,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsEscape_Deprecated/0,false,220,3,6,0,6,1,6,5,0,2,0,6,1,1,0,0,0,0,1,0,2,0,0,0,0,0,13,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,testEqualsHeader_Deprecated/0,false,290,3,10,0,10,1,10,5,0,2,0,10,1,1,0,0,0,0,7,0,2,0,0,0,0,0,14,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,"assertNotEquals/4[java.lang.String,java.lang.String,java.lang.Object,java.lang.Object]",false,74,0,1,1,0,4,3,8,0,0,4,3,0,0,0,1,0,0,6,0,0,2,1,0,0,0,16,2,0,false
